,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Rhbdf2,0.22302882,0.0011281506,0.16912729,0.12527618,0.14548679,0.0032667886,0.11511875,0.044838794,0.057594955,0.0063779047,0.0,0.27015015
Mxra7,0.4235081,0.0,0.1730131,0.009539666,0.06898123,0.058646813,0.059928052,0.0,0.05033554,0.030606758,0.3113662,0.0
Socs3,0.0,0.0,0.0,0.3273849,0.45661575,0.0,0.055434246,0.0,0.28147033,0.014116673,1.0085095,0.0
Lgals3bp,0.0,0.0,0.0,0.42433688,0.4831279,0.06476013,0.018489957,0.7304161,0.21605584,0.1560983,0.14965098,0.10342796
Rnf213,0.15852429,0.03718472,0.067148566,0.5344898,0.17448665,0.15978855,0.41700485,0.44701743,0.17095605,0.13566884,0.0,0.2577706
Actg1,0.14722627,0.0023734174,0.042026807,0.34976953,0.0,0.3374614,0.26907536,0.053086877,0.56692934,0.16856906,0.12330638,0.10982584
Tspan10,0.0042272722,0.0030597846,0.0,0.1803012,0.07510108,0.0,0.0,0.008533879,0.027133597,0.040268395,0.011521663,0.0027110328
Cd7,0.0,0.014530757,0.0,0.8669694,0.0,0.0,0.0,0.027708363,0.26355264,0.26488635,0.42820776,0.0
Metrnl,0.35995662,0.034502883,0.2637564,0.0,0.0,0.044902,0.0,0.0,0.0,0.0,0.0,0.0
Tgif1,0.041879606,0.17668608,0.0,0.24867514,0.18286294,0.0,0.2966003,0.0,0.3002578,0.025685957,0.21998765,0.21750174
Dlgap1,0.0,0.2629181,0.025727242,0.0,0.0,0.0,0.10199669,0.4906921,0.0,0.0,0.0,0.0
Ldlrad4,0.0,0.13438357,0.055247,0.28839955,0.16105652,0.051295687,0.525572,0.03928618,0.0,0.17794348,0.024608731,0.0
Npc1,0.13386299,0.039244533,0.11542732,0.14415759,0.0605443,0.12168672,0.30509862,0.0,0.0,0.034329876,0.0,0.2513944
Ttc39c,0.0,0.12916015,0.17197452,0.2905282,0.44951388,0.2358922,0.3869962,0.058856525,0.39979652,0.041332886,0.3557904,0.01768478
Psma8,0.015786251,0.0071016056,0.025437545,0.16726458,0.008336641,0.028124318,0.0057922318,0.04892415,0.031178033,0.021349996,0.006884653,0.016644537
Dsc1,0.0,0.0,0.0,0.63461053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smad7,0.2520929,0.00390735,0.30248487,0.18561292,0.0,0.11013576,0.0145172365,0.0,0.0,0.07326589,0.03962532,0.13167793
Nedd4l,0.0,0.022772597,0.21471138,0.02540579,0.13636963,0.29131338,0.0,0.04081842,0.052192934,0.021998387,0.0,0.0
Pmaip1,0.029203968,0.16413432,0.074216515,0.0,0.033293925,0.4697155,0.12977669,0.16195033,0.0,0.048331004,0.5078175,0.17625393
Bcl2,0.015495443,0.12575872,0.15840718,0.33380565,1.3348798,0.0,0.15996939,0.010913812,0.112534985,0.08094476,0.20200542,0.024227398
Dsel,0.0180378,0.0,0.21625817,0.10036012,0.22320952,0.0,0.0,0.0,0.08599307,0.0,0.009606636,0.1393401
Gzmm,0.32480156,0.0,0.0,0.64430773,0.0,0.042928617,0.15627858,0.025937498,0.19022195,0.33709595,0.24678272,0.42342082
Midn,0.22159159,0.06772466,0.18766303,0.23171578,0.1617138,0.039629623,0.27107143,0.04498199,0.13318269,0.09413127,0.14829493,0.1668994
Abhd17a,0.34950045,0.06138483,0.15849039,0.37566268,0.13536046,0.089262925,0.3906893,0.102907784,0.026671225,0.2047106,0.49596033,0.1367859
Csnk1g2,0.11437521,0.025450695,0.16824996,0.46290237,0.27838004,0.04881176,0.40395847,0.056645557,0.0,0.14170234,0.46852323,0.1191999
Gadd45b,0.08812083,0.09734962,0.077501364,0.32455504,0.34591606,0.07872017,0.0,0.13727425,0.32792884,0.05813516,0.71860015,0.12895228
Gna15,0.0,0.0,0.31503272,0.0,0.0,0.262417,0.009362407,0.069449626,0.18030466,0.0,0.005651812,0.0
Gipc3,0.0,0.0,0.0,0.24123551,0.23136722,0.0,0.0,0.0,0.0,0.22077207,0.0,0.0
Matk,0.5192412,0.0,0.27167073,0.08131639,0.009948329,0.0,0.0,0.0,0.0,0.1429879,0.08153312,0.42447287
Chaf1a,0.037221048,0.017433507,0.048381817,0.15184067,0.10660896,0.06817005,0.21236831,0.030982763,0.027992778,0.11758569,0.06908406,0.054418087
Cd70,0.1159495,0.0,0.15279712,0.0,0.0,0.6620647,0.0,0.0,0.0,0.0,0.0,0.10407934
Tnfsf14,0.1466581,0.0018953504,0.35492995,0.0,0.0,0.22795604,0.0,0.0,0.22965309,0.0,0.0,0.39503133
Cd320,0.2902934,0.0649037,0.122566305,0.35364982,0.17594849,0.08057129,0.01904937,0.079839125,0.40784442,0.038588487,0.16860487,0.101431824
Myo1f,0.40542504,0.0,0.4541759,0.0,0.0,0.416936,0.337606,0.0,0.33092758,0.0,0.0,0.41672185
Pde4a,0.08935268,0.055673897,0.1876818,0.0,0.0,0.14034231,0.0,0.0062529556,0.024725089,0.0,0.0,0.11028195
S1pr5,0.82747114,0.0,0.034387626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42281073
Ldlr,0.095121205,0.0,0.032969594,0.08032437,0.119023256,0.11519027,0.34456462,0.08842847,0.007296638,0.043136038,0.09810256,0.015770795
Junb,0.0,0.026341733,0.0,0.19968487,0.0,0.0,0.0,0.0,0.15045448,0.0,1.7626563,0.0
Ier2,0.06542489,0.072662644,0.11337727,0.03228192,0.18943827,0.07214782,0.08182825,0.03093577,0.19016224,0.13951264,1.3612969,0.06184357
Misp3,0.062029365,0.0,0.043458406,0.053262126,0.0,0.00274848,0.018570628,0.0,0.17664729,0.03419875,0.06559057,0.025320437
Adgre5,0.22565903,0.026944468,0.102872856,0.31524214,0.8280964,0.07276822,0.17044538,0.053408664,0.395608,0.0576073,0.15326571,0.21378906
Tpm4,0.15152635,0.056591064,0.25056437,0.26855382,0.0,0.41791973,0.25564167,0.079918854,0.5746195,0.11452864,0.0501989,0.12437191
Hsh2d,0.06228766,0.03878309,0.091242895,0.2179461,0.1503489,0.101319015,0.113969475,0.90534854,0.0,0.08581508,0.046816867,0.027351769
Klf2,0.108036965,0.08237724,0.159195,0.3976688,0.18374912,0.083184496,0.37649184,0.0,0.052297693,0.1698179,0.41081476,0.046107076
Bst2,0.12886937,0.054556973,0.050069906,0.4476463,0.0,0.07690252,0.05366759,0.69067264,0.42276067,0.0,0.33827612,0.19625948
Arrdc2,0.07198562,0.04252179,0.11994927,0.5410181,0.32785937,0.039625816,0.20279802,0.006710539,0.0,0.26844138,0.44879082,0.0588394
Jund,0.064399056,0.05498678,0.15888315,0.25494292,0.12611288,0.042964976,0.3762347,0.0,0.0,0.1760878,1.1976085,0.0
Ssbp4,0.26417747,0.040703148,0.25959194,0.1625516,0.10041097,0.12239936,0.5782169,0.10826561,0.32554808,0.13700342,0.27726364,0.17449583
Isyna1,0.0,0.080206774,0.017370105,0.38304597,0.10063841,0.0,0.18986872,0.0,0.5229659,0.0,0.16617407,0.029688634
Zfp951,0.0,0.14478803,0.064496405,0.548997,0.41224214,0.0,0.21028797,0.0,0.04606633,0.0047196914,0.11287932,0.13632222
Zfp459,0.010306845,0.06567054,0.044013996,0.4263181,0.0,0.0,0.010865221,0.031525593,0.27003294,0.0,0.12976407,0.0830831
Zfp595,0.0,0.08202227,0.022426441,0.2014567,0.08301058,0.0,0.009499052,0.0,0.4047964,0.0,0.022563573,0.011561896
Plekhf1,0.3589141,0.0,0.21248356,0.2375958,0.0,0.2573983,0.23141949,0.0,0.18766217,0.18737155,0.0,0.13222335
Cebpa,0.20676012,0.03944248,0.083500385,0.0,0.0,0.13399671,0.057834823,0.0,0.0,0.0,0.0,0.0
Fxyd7,0.0104635805,0.048131082,0.0,0.04770425,0.2118134,0.0,0.0,0.0,1.1475297,0.0,0.101846404,0.0
Lsr,0.0,0.16555005,0.080382526,0.24400008,0.5511789,0.0,0.01890186,0.0,0.49501902,0.0,0.32189256,0.0
Hcst,0.2746388,0.051935624,0.0,0.495697,0.0,0.10324153,0.0,0.08880314,0.35823458,0.12592678,0.2974548,0.39315218
Capns1,0.24207512,0.06423012,0.25764903,0.3262396,0.26130998,0.17465447,0.3160625,0.05690843,0.2175381,0.11640837,0.41554603,0.11138877
Kcnk6,0.0033403458,0.020497102,0.104071476,0.30909243,0.093354054,0.13900833,0.1534588,0.050816726,0.18516707,0.015604348,0.08489871,0.039258417
Actn4,0.29294434,0.077124715,0.3089277,0.11158521,0.0886939,0.49698055,0.20478483,0.040526256,0.44049427,0.0,0.0,0.35180724
Zfp36,0.091114745,0.10648294,0.09834762,0.25414786,0.11875528,0.046626534,0.13765237,0.033822313,0.17459217,0.05696707,1.0100107,0.08638372
Numbl,0.09628305,0.005412655,0.02617449,0.092349954,0.05639722,0.0,0.03231318,0.0,0.06830636,0.0,0.014600481,0.0
Tgfb1,0.24644865,0.04565612,0.34760353,0.2823233,0.25343436,0.28289714,0.25235084,0.038846035,0.19886069,0.16007614,0.33325616,0.1798009
Ceacam13,0.0,0.42118976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd79a,0.0,0.085480705,0.0,0.022146374,0.1414306,0.0,0.0,0.0,0.07957335,0.4900701,0.1511876,0.0
Atp1a3,0.104083344,0.006505911,0.0,0.12356593,0.019670507,0.2197068,0.14539224,0.0,0.0,0.052938785,0.040279217,0.08126751
Pou2f2,0.022546858,0.11852305,0.13359423,0.49297673,0.0,0.12968372,0.33118752,0.0,0.2916861,0.027626202,0.16341704,0.08419934
